DelaysAA,DelaysUA,,ChildrenCereal,AdultCereal
-5,-3,,40.3,20
79,4,,55,30.2
-2,-1,,45.7,2.2
-7,2,,43.3,7.5
-3,-8,,50.3,4.4
-9,-11,,45.9,22.2
13,15,,53.5,16.6
98,3,,43,14.5
17,1,,44.2,21.4
-4,3,,44,3.3
-5,-4,,47.4,6.6
-3,25,,44,7.8
32,-4,,33.6,10.6
3,109,,55.1,16.2
-8,-1,,48.8,14.5
-4,-6,,50.4,4.1
-4,33,,37.8,15.8
-3,4,,60.3,4.1
27,-6,,46.6,2.4
46,-9,,22.1,3.5
-11,11,,18.4,8.5
-4,81,,27.4,10
46,-7,,16.9,1
22,46,,30.5,4.4
1,-3,,42.8,1.3
0,-7,,,8.1
0,-9,,,4.7
0,-3,,,18.4
-4,-1,,,
62,100,,,
6,-7,,,
-5,0,,,
5,1,,,
35,105,,,
6,1,,,
-3,-6,,,
-5,-9,,,
-6,99,,,
143,-3,,,
-9,31,,,
,8,,,
,-3,,,
